school_id,region,division,language,n_test_takers,english_mps,filipino_mps,numeracy_mps,mother_tongue_mps,overall_mps
106811,Region III,Zambales,Tagalog,30,47.25925925925925,55.185185185185176,30.166666666666668,,47.39393939393939
106858,Region III,Zambales,Tagalog,19,46.08187134502924,49.5906432748538,42.631578947368425,,46.88995215311005
501223,Region III,Zambales,Tagalog,10,40.888888888888886,55.111111111111114,40.5,,46.63636363636363
107021,Region III,Zambales,Tagalog,7,38.095238095238095,65.71428571428572,22.142857142857142,,46.493506493506494
160506,Region III,Zambales,Tagalog,18,49.75308641975309,51.23456790123457,26.666666666666664,,46.161616161616166
106815,Region III,Zambales,Tagalog,30,43.25925925925925,54.74074074074075,33.0,,46.09090909090909
106860,Region III,Zambales,Tagalog,53,42.725366876310275,57.064989517819704,28.0188679245283,,45.91766723842196
106907,Region III,Zambales,Tagalog,29,49.34865900383142,46.51340996168582,36.03448275862069,,45.7680250783699
500513,Region III,Zambales,Tagalog,24,44.81481481481482,53.24074074074073,31.041666666666664,,45.757575757575765
106962,Region III,Zambales,Tagalog,14,45.55555555555556,52.53968253968254,27.857142857142858,,45.1948051948052
106807,Region III,Zambales,Tagalog,62,45.19713261648746,51.541218637992834,30.887096774193548,,45.19061583577712
501227,Region III,Zambales,Tagalog,48,45.23148148148148,50.833333333333336,28.020833333333336,,44.3939393939394
106861,Region III,Zambales,Tagalog,43,46.149870801033586,49.6640826873385,28.02325581395349,,44.29175475687104
106804,Region III,Zambales,Tagalog,56,43.84920634920635,49.841269841269835,32.67857142857143,,44.26948051948052
106916,Region III,Zambales,Tagalog,85,43.13725490196078,43.372549019607845,42.705882352941174,,43.155080213903744
501225,Region III,Zambales,Tagalog,40,39.222222222222214,52.888888888888886,29.0,,42.95454545454545
500126,Region III,Zambales,Tagalog,11,41.21212121212122,53.535353535353536,18.636363636363633,,42.14876033057852
500510,Region III,Zambales,Tagalog,80,42.44444444444445,49.166666666666664,25.437500000000004,,42.10227272727273
107009,Region III,Zambales,Tagalog,37,44.32432432432433,43.78378378378378,27.2972972972973,,41.007371007371006
